序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
113,0xa4b06c0fdda524bc7d62ed878601b8bd1c2fdc90,0x34fa7c50e8b82e2de45797b494285b9f72fda8b671b096584980f6af1582ffda,3.98,23880.0,6000.0,
114,0x1418425c0a103dd5bce8a9915d536b5cbd248857,0x36068031cb580ee7abf59969e21c2817afae45d05139434705d6f2e244523386,10.00,60000.0,6000.0,
115,0x1e12b894924b3f3f641696cae3a5a1f84e471241,0x3616f3b191b0c830104b27c08fd6e08c74c1b3340a33725ea2f5bef9510473d1,0.99,5940.0,6000.0,
116,0x13d0df8f0c6eb7935d0eb937d0fe7aa2a5506ada,0x39151fbbca81bcfad677bdc7dfd9f7cf80bda9a81abed467d92ff7fd0d1b1121,10.00,60000.0,6000.0,
117,0xd5191c03509414be51e77a32918991173224e410,0x3bbaf9f302269604e080c7768851cf6273bf597acf0a67f0c71695dda0c0ea20,0.16,984.0,6000.0,
118,0xc7cd8fb42e30611e40795a888ae463440d775c57,0x3d51ebb939b1db895074a6ba1b35ed2d04195917f2132fcbce4a291c0b296f35,10.00,60000.0,6000.0,
119,0x726b76ee7c8935dde49f2cbeccd80f5909129178,0x3ec1567fbe8b61c2719a54c1dbfa8dc8cd222c08e320468bee9bd2356549c41d,3.20,19200.0,6000.0,
120,0x5c87e2bf4876b70d0b8e8cf9be3b840e45b56428,0xf1a6a626c851a0f7d97ca12da1e6c14f9b1d4712ecb1b8059e2051adf7ad2d5b,0.90,5400.0,6000.0,
121,0xc222adecb680c93baf928fe9d832cecba3b8a652,0x702b6f7178479e390a36793b0f0cf4f55003e86ff48063b14db3aa5e895bf8cd,0.70,4200.0,6000.0,
122,0x32ff50ab8faf349eb18b6535d639ebe9c38c54d4,0x900126c96f5a14f0d37cf570029ef1233f638dd70d939f134a48840016032e6e,2.00,12000.0,6000.0,
123,0xcfad961b286f0c83454cd4dae638b4e61ebdec7f,0x008fbd08f341862b0d7140af248ae9ef656405dcd9cb242d9a517aef2c01a3b1,40.22,241320.0,6000.0,
124,0xb059b066f976d528172c8d6cc5257a4787266012,0xc17000df00186f7c588393fccfd65081b4530d28349451d2ce3e025a7add94b9,1.00,6000.0,6000.0,
125,0xad047d7967ae248a736f857ee1363399cef64329,0xcda22f9cd54c6dc810f79228f3fe2c2b7faa83131b995cfa8f05f29249167d42,3.60,21600.0,6000.0,
126,0x2f74153592636dd92c2c95a3a3a9f7c26b5d435c,0x3c6d6c5fa3ec3713bafbb7944fd2d16bc111a3ce5cb11259db9d76f1a429685b,3.68,22059.5,6000.0,
127,0xe80c5199dd6732d6e5981c02a917d1feea6b5fd8,0x164540a944989e38410b70275aa3f7a7e33722e4a27f7437c06b113001f50dae,2.00,12000.0,6000.0,
128,0x88e0c099308eb0c70d283a2fa36c321a3b721aa3,0xf61dce4d8a3f81ac28b5c07515a8ff716ce55cee2e6e972b25d49bc6d86f8199,1.56,9360.0,6000.0,
129,0x0718736ed41b591855389db280093509d148a86c,0x20e2756bbc5a6347ed2b84fb721dc08457951fb94e418e6ba7864e4db7dbbd1f,5.00,30000.0,6000.0,
130,0x6f4b73d44ff0bb945b4c7ae5d8fab9c8903cc142,0xd1007399d196f43b9cb9b1359c411f1cf1e298b17a12396caefd9970e52af0b5,2.90,17400.0,6000.0,
131,0x30e90431531ddbd0096b78d8cb998b7505ac9d16,0x007b0d9b6729d93363409fcdbc84ae7c8ccf9bdd0af6a03a68586824ac553a0f,2.72,16320.0,6000.0,
132,0xf16f41c6ef6fe38372bc6cb4844a9e1c25938358,0x0845d43ca95d43c235069779c5401d7760f721021b74c6386a8d781412197414,100.00,600000.0,6000.0,
133,0x3614d8e26b94dee876ab7d1d5bdfbc0c377c45ba,0x0c3da2236330379323626fa027ca443ef3b352ac5d42c99f06826724f0ea64a4,1.98,11880.0,6000.0,
134,0x2bb2f9713da3850abc7e08abacdf569c2d56b21a,0x0d9879da83c882873ba46ce1196d445e522004e1b09affc7ef3f1284c05a1b87,1.00,6000.0,6000.0,
